File Name, OpMode, Test Events, HLED Events, Forced Events
Merged_CoBo0_AsAd0_2025-09-24T04:35:56.127_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:37:56.128_0000.root, 1, 42, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:39:56.469_0000.root, 1, 39, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:41:56.469_0000.root, 1, 39, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:43:55.793_0000.root, 1, 40, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:45:56.469_0000.root, 1, 41, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:47:56.469_0000.root, 1, 34, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:49:55.860_0000.root, 1, 38, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:51:55.994_0000.root, 1, 48, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T04:53:56.319_0000.root, 1, 44, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:55:56.470_0000.root, 1, 53, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:57:55.572_0000.root, 1, 45, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T04:59:56.470_0000.root, 1, 30, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:01:56.471_0000.root, 1, 50, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:03:56.278_0000.root, 1, 36, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:05:56.471_0000.root, 1, 44, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:07:56.328_0000.root, 1, 53, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:09:56.269_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:11:56.471_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:13:56.455_0000.root, 1, 50, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:15:56.472_0000.root, 1, 41, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:17:56.472_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:19:55.702_0000.root, 1, 35, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:21:56.472_0000.root, 1, 43, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T05:23:56.472_0000.root, 1, 50, 95, 0
Merged_CoBo0_AsAd0_2025-09-24T05:25:56.472_0000.root, 1, 42, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:27:56.165_0000.root, 1, 50, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:29:56.473_0000.root, 1, 42, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:31:56.472_0000.root, 1, 107, 44, 0
Merged_CoBo0_AsAd0_2025-09-24T05:33:56.472_0000.root, 1, 53, 95, 0
Merged_CoBo0_AsAd0_2025-09-24T05:35:56.473_0000.root, 1, 38, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:37:56.472_0000.root, 1, 40, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T05:39:55.943_0000.root, 1, 43, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:41:56.473_0000.root, 1, 33, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:43:56.473_0000.root, 1, 44, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:45:56.473_0000.root, 1, 42, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:47:56.263_0000.root, 1, 41, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:49:56.614_0000.root, 1, 50, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:51:55.822_0000.root, 1, 49, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T05:53:56.277_0000.root, 1, 46, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T05:55:56.474_0000.root, 1, 67, 92, 0
Merged_CoBo0_AsAd0_2025-09-24T05:57:56.474_0000.root, 1, 93, 33, 0
Merged_CoBo0_AsAd0_2025-09-24T05:59:56.541_0000.root, 1, 185, 14, 0
Merged_CoBo0_AsAd0_2025-09-24T06:01:56.474_0000.root, 1, 52, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:03:56.474_0000.root, 1, 41, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:05:56.474_0000.root, 1, 38, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:07:56.228_0000.root, 1, 49, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:09:56.474_0000.root, 1, 48, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T06:11:56.220_0000.root, 1, 46, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:13:55.522_0000.root, 1, 50, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:15:56.475_0000.root, 1, 41, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T06:17:56.476_0000.root, 1, 49, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:19:56.476_0000.root, 1, 44, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:21:56.476_0000.root, 1, 52, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T06:23:55.627_0000.root, 1, 42, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:25:56.476_0000.root, 1, 57, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:27:56.313_0000.root, 1, 50, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:29:56.477_0000.root, 1, 48, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:31:56.477_0000.root, 1, 42, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T06:33:56.478_0000.root, 1, 45, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:35:56.478_0000.root, 1, 64, 95, 0
Merged_CoBo0_AsAd0_2025-09-24T06:37:55.602_0000.root, 1, 90, 86, 0
Merged_CoBo0_AsAd0_2025-09-24T06:39:56.218_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:41:56.478_0000.root, 1, 100, 64, 0
Merged_CoBo0_AsAd0_2025-09-24T06:43:56.478_0000.root, 1, 128, 58, 0
Merged_CoBo0_AsAd0_2025-09-24T06:45:56.478_0000.root, 1, 51, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T06:47:56.478_0000.root, 1, 36, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:49:56.479_0000.root, 1, 48, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:51:56.479_0000.root, 1, 51, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:53:56.479_0000.root, 1, 108, 66, 0
