Operation Mode 1: Normal
File Name, Test Events, HLED Events, Forced Events, Avg Rounded Bias Voltage, Max Current
Merged_CoBo0_AsAd0_2025-09-24T07:27:56.481_0000.root, 64, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:29:56.081_0000.root, 45, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:31:56.480_0000.root, 46, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:33:56.201_0000.root, 44, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:35:56.552_0000.root, 46, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:37:56.481_0000.root, 49, 94, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:39:56.481_0000.root, 107, 77, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:41:56.481_0000.root, 130, 63, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:43:56.622_0000.root, 55, 89, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:45:55.962_0000.root, 46, 96, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:47:56.481_0000.root, 51, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:49:55.618_0000.root, 45, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:51:56.317_0000.root, 40, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:53:56.482_0000.root, 39, 96, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T07:55:56.482_0000.root, 42, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:57:56.482_0000.root, 43, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T07:59:55.993_0000.root, 43, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:01:56.482_0000.root, 47, 95, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:03:56.483_0000.root, 55, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:05:56.482_0000.root, 51, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:07:56.482_0000.root, 52, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:09:56.483_0000.root, 50, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:11:56.482_0000.root, 55, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:13:56.482_0000.root, 44, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:15:56.483_0000.root, 34, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:17:55.524_0000.root, 44, 96, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:19:55.814_0000.root, 47, 96, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:21:56.483_0000.root, 40, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:23:56.020_0000.root, 69, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:25:56.165_0000.root, 49, 96, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:27:56.483_0000.root, 34, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:29:56.097_0000.root, 39, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:31:56.483_0000.root, 45, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:33:55.853_0000.root, 45, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:35:56.268_0000.root, 51, 97, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:37:56.554_0000.root, 55, 96, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:39:56.011_0000.root, 224, 18, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:41:55.905_0000.root, 166, 6, 0, 44.0, 6.5
Merged_CoBo0_AsAd0_2025-09-24T08:43:55.802_0000.root, 169, 5, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T08:45:56.484_0000.root, 52, 96, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T08:47:56.484_0000.root, 60, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T08:49:56.484_0000.root, 37, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T08:51:56.484_0000.root, 43, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T08:53:56.484_0000.root, 41, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T08:55:56.485_0000.root, 41, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T08:57:56.485_0000.root, 51, 97, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T08:59:56.485_0000.root, 38, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T09:01:56.485_0000.root, 47, 96, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T09:03:56.485_0000.root, 42, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T09:05:56.485_0000.root, 35, 97, 0, 44.0, 6.3
