No internet connection Wed Nov  8 21:09:23 2023
Internet connection is available. Tue Dec  5 09:00:02 2023
Internet connection is available. Tue Dec  5 09:30:02 2023
Internet connection is available. Tue Dec  5 19:00:01 2023
Internet connection is available. Tue Dec  5 19:30:07 2023
Internet connection is available. Tue Dec  5 20:00:01 2023
Internet connection is available. Tue Dec  5 20:30:01 2023
Internet connection is available. Tue Dec  5 21:00:02 2023
No internet connection Tue Dec  5 21:30:01 2023
CT Camera not operating Tue Dec  5 21:30:01 2023
Internet connection is available. Tue Dec  5 22:00:01 2023
Internet connection is available. Tue Dec  5 22:30:02 2023
Internet connection is available. Tue Dec  5 23:00:02 2023
Internet connection is available. Tue Dec  5 23:30:01 2023
Internet connection is available. Wed Dec  6 00:00:01 2023
Internet connection is available. Wed Dec  6 00:30:01 2023
Internet connection is available. Wed Dec  6 01:00:02 2023
Internet connection is available. Wed Dec  6 01:30:02 2023
Internet connection is available. Wed Dec  6 02:00:02 2023
Internet connection is available. Wed Dec  6 02:30:01 2023
Internet connection is available. Wed Dec  6 03:00:01 2023
Internet connection is available. Wed Dec  6 03:30:01 2023
Internet connection is available. Wed Dec  6 04:00:02 2023
Internet connection is available. Wed Dec  6 04:30:02 2023
Internet connection is available. Wed Dec  6 05:00:01 2023
Internet connection is available. Wed Dec  6 05:30:01 2023
Internet connection is available. Wed Dec  6 06:00:02 2023
Internet connection is available. Wed Dec  6 06:30:02 2023
Internet connection is available. Wed Dec  6 07:00:02 2023
Internet connection is available. Wed Dec  6 07:30:01 2023
Internet connection is available. Wed Dec  6 08:00:01 2023
Internet connection is available. Wed Dec  6 08:30:02 2023
Internet connection is available. Wed Dec  6 09:00:02 2023
Internet connection is available. Wed Dec  6 09:30:02 2023
Internet connection is available. Wed Dec  6 19:00:01 2023
Internet connection is available. Wed Dec  6 19:30:07 2023
Internet connection is available. Wed Dec  6 20:00:01 2023
Internet connection is available. Wed Dec  6 20:30:02 2023
Internet connection is available. Wed Dec  6 21:00:02 2023
Internet connection is available. Wed Dec  6 21:30:01 2023
Internet connection is available. Wed Dec  6 22:00:01 2023
Internet connection is available. Wed Dec  6 22:30:01 2023
Internet connection is available. Wed Dec  6 23:00:02 2023
Internet connection is available. Wed Dec  6 23:30:02 2023
Internet connection is available. Thu Dec  7 00:00:01 2023
Internet connection is available. Thu Dec  7 00:30:01 2023
Internet connection is available. Thu Dec  7 01:00:01 2023
Internet connection is available. Thu Dec  7 02:00:02 2023
Internet connection is available. Thu Dec  7 02:30:01 2023
Internet connection is available. Thu Dec  7 03:00:01 2023
Internet connection is available. Thu Dec  7 03:30:01 2023
Internet connection is available. Thu Dec  7 04:00:02 2023
Internet connection is available. Thu Dec  7 04:30:02 2023
Internet connection is available. Thu Dec  7 05:00:02 2023
Internet connection is available. Thu Dec  7 05:30:02 2023
Internet connection is available. Thu Dec  7 06:00:02 2023
Internet connection is available. Thu Dec  7 06:30:02 2023
Internet connection is available. Thu Dec  7 07:00:01 2023
Internet connection is available. Thu Dec  7 07:30:01 2023
Internet connection is available. Thu Dec  7 08:00:01 2023
Internet connection is available. Thu Dec  7 08:30:02 2023
Internet connection is available. Thu Dec  7 09:00:02 2023
Internet connection is available. Thu Dec  7 09:30:01 2023
Internet connection is available. Thu Dec  7 19:00:02 2023
Internet connection is available. Thu Dec  7 19:30:07 2023
Internet connection is available. Thu Dec  7 20:00:02 2023
Internet connection is available. Thu Dec  7 20:30:02 2023
Internet connection is available. Thu Dec  7 21:00:01 2023
Internet connection is available. Thu Dec  7 21:30:01 2023
Internet connection is available. Thu Dec  7 22:00:02 2023
Internet connection is available. Thu Dec  7 22:30:02 2023
Internet connection is available. Thu Dec  7 23:00:01 2023
Internet connection is available. Thu Dec  7 23:30:01 2023
Internet connection is available. Fri Dec  8 00:00:01 2023
Internet connection is available. Fri Dec  8 00:30:02 2023
Internet connection is available. Fri Dec  8 01:00:02 2023
Internet connection is available. Fri Dec  8 01:30:02 2023
Internet connection is available. Fri Dec  8 02:00:01 2023
Internet connection is available. Fri Dec  8 02:30:02 2023
Internet connection is available. Fri Dec  8 03:00:02 2023
Internet connection is available. Fri Dec  8 03:30:01 2023
Internet connection is available. Fri Dec  8 04:00:01 2023
Internet connection is available. Fri Dec  8 04:30:01 2023
Internet connection is available. Fri Dec  8 05:00:02 2023
Internet connection is available. Fri Dec  8 05:30:02 2023
Internet connection is available. Fri Dec  8 06:00:01 2023
Internet connection is available. Fri Dec  8 06:30:01 2023
Internet connection is available. Fri Dec  8 07:00:01 2023
Internet connection is available. Fri Dec  8 07:30:02 2023
Internet connection is available. Fri Dec  8 08:00:02 2023
Internet connection is available. Fri Dec  8 08:30:01 2023
Internet connection is available. Fri Dec  8 09:00:01 2023
Internet connection is available. Fri Dec  8 09:30:01 2023
Internet connection is available. Fri Dec  8 19:00:02 2023
Internet connection is available. Fri Dec  8 19:30:01 2023
Internet connection is available. Fri Dec  8 20:00:01 2023
Internet connection is available. Fri Dec  8 20:30:01 2023
Internet connection is available. Fri Dec  8 21:00:02 2023
Internet connection is available. Fri Dec  8 21:30:02 2023
Internet connection is available. Fri Dec  8 22:00:02 2023
Internet connection is available. Fri Dec  8 22:30:01 2023
Internet connection is available. Fri Dec  8 23:00:01 2023
Internet connection is available. Fri Dec  8 23:30:02 2023
Internet connection is available. Sat Dec  9 00:00:02 2023
Internet connection is available. Sat Dec  9 00:30:02 2023
Internet connection is available. Sat Dec  9 01:00:01 2023
Internet connection is available. Sat Dec  9 01:30:01 2023
Internet connection is available. Sat Dec  9 02:00:02 2023
Internet connection is available. Sat Dec  9 02:30:02 2023
Internet connection is available. Sat Dec  9 03:00:02 2023
Internet connection is available. Sat Dec  9 03:30:01 2023
Internet connection is available. Sat Dec  9 04:00:01 2023
Internet connection is available. Sat Dec  9 04:30:02 2023
Internet connection is available. Sat Dec  9 05:00:02 2023
Internet connection is available. Sat Dec  9 05:30:02 2023
Internet connection is available. Sat Dec  9 06:00:02 2023
Internet connection is available. Sat Dec  9 06:30:02 2023
Internet connection is available. Sat Dec  9 07:00:01 2023
Internet connection is available. Sat Dec  9 07:30:02 2023
Internet connection is available. Sat Dec  9 08:00:01 2023
Internet connection is available. Sat Dec  9 08:30:02 2023
Internet connection is available. Sat Dec  9 09:00:02 2023
Internet connection is available. Sat Dec  9 09:30:01 2023
Internet connection is available. Sat Dec  9 19:00:02 2023
Internet connection is available. Sat Dec  9 19:30:02 2023
Internet connection is available. Sat Dec  9 20:00:02 2023
Internet connection is available. Sat Dec  9 20:30:01 2023
Internet connection is available. Sat Dec  9 21:00:01 2023
Internet connection is available. Sat Dec  9 21:30:02 2023
Internet connection is available. Sat Dec  9 22:00:02 2023
Internet connection is available. Sat Dec  9 22:30:02 2023
Internet connection is available. Sat Dec  9 23:00:01 2023
Internet connection is available. Sat Dec  9 23:30:01 2023
Internet connection is available. Sun Dec 10 00:00:01 2023
Internet connection is available. Sun Dec 10 00:30:02 2023
Internet connection is available. Sun Dec 10 01:00:02 2023
Internet connection is available. Sun Dec 10 01:30:01 2023
Internet connection is available. Sun Dec 10 02:00:02 2023
Internet connection is available. Sun Dec 10 02:30:02 2023
Internet connection is available. Sun Dec 10 03:00:01 2023
Internet connection is available. Sun Dec 10 03:30:01 2023
Internet connection is available. Sun Dec 10 04:00:01 2023
Internet connection is available. Sun Dec 10 04:30:02 2023
Internet connection is available. Sun Dec 10 05:00:02 2023
Internet connection is available. Sun Dec 10 05:30:01 2023
Internet connection is available. Sun Dec 10 06:00:01 2023
Internet connection is available. Sun Dec 10 06:30:01 2023
Internet connection is available. Sun Dec 10 07:00:02 2023
Internet connection is available. Sun Dec 10 07:30:02 2023
Internet connection is available. Sun Dec 10 08:00:01 2023
Internet connection is available. Sun Dec 10 08:30:01 2023
Internet connection is available. Sun Dec 10 09:00:01 2023
Internet connection is available. Sun Dec 10 09:30:02 2023
Internet connection is available. Sun Dec 10 19:00:01 2023
Internet connection is available. Sun Dec 10 19:30:02 2023
Internet connection is available. Sun Dec 10 20:00:02 2023
Internet connection is available. Sun Dec 10 20:30:01 2023
Internet connection is available. Sun Dec 10 21:00:01 2023
Internet connection is available. Sun Dec 10 21:30:01 2023
Internet connection is available. Sun Dec 10 22:00:02 2023
Internet connection is available. Sun Dec 10 22:30:02 2023
Internet connection is available. Sun Dec 10 23:00:01 2023
Internet connection is available. Sun Dec 10 23:30:01 2023
Internet connection is available. Mon Dec 11 00:00:01 2023
Internet connection is available. Mon Dec 11 00:30:01 2023
Internet connection is available. Mon Dec 11 01:00:02 2023
Internet connection is available. Mon Dec 11 01:30:01 2023
Internet connection is available. Mon Dec 11 02:00:01 2023
Internet connection is available. Mon Dec 11 02:30:01 2023
Internet connection is available. Mon Dec 11 03:00:02 2023
Internet connection is available. Mon Dec 11 03:30:02 2023
Internet connection is available. Mon Dec 11 04:00:01 2023
Internet connection is available. Mon Dec 11 04:30:01 2023
Internet connection is available. Mon Dec 11 05:00:01 2023
Internet connection is available. Mon Dec 11 05:30:02 2023
Internet connection is available. Mon Dec 11 06:00:02 2023
Internet connection is available. Mon Dec 11 06:30:01 2023
Internet connection is available. Mon Dec 11 07:00:01 2023
Internet connection is available. Mon Dec 11 07:30:01 2023
Internet connection is available. Mon Dec 11 08:00:02 2023
Internet connection is available. Mon Dec 11 08:30:02 2023
Internet connection is available. Mon Dec 11 09:00:01 2023
Internet connection is available. Mon Dec 11 09:30:01 2023
Internet connection is available. Mon Dec 11 19:00:02 2023
