#Pixel #Amplitude(ADC/pe) #ErrAmplitude(ADC/pe) #Charge(ADC/pe) #ErrCharge(ADC/pe)
227 8.26964 0.161174 24.2059 0.464699
228 8.66485 0.177763 25.4723 0.514544
229 8.79569 0.172174 25.89 0.491783
230 9.03895 0.184594 26.6256 0.52933
231 8.94664 0.168744 26.3754 0.48347
232 8.95208 0.16029 26.2204 0.458806
233 8.92939 0.170813 26.106 0.482682
234 8.46702 0.151398 24.8121 0.433806
235 8.91278 0.180627 26.1327 0.519346
236 8.76286 0.162099 25.6212 0.466011
237 9.07554 0.17805 26.5053 0.50835
238 9.05152 0.18089 26.361 0.516811
239 9.1656 0.170562 26.7471 0.483107
240 8.72329 0.168191 25.691 0.48464
241 8.76547 0.150662 25.8292 0.434275
242 8.85131 0.157991 26.0668 0.453446
243 9.05592 0.163161 26.7035 0.468545
244 8.5638 0.164153 25.2075 0.472392
245 8.53982 0.17977 25.1242 0.517939
246 8.4872 0.174002 24.9759 0.499396
247 8.4227 0.177616 24.7456 0.511253
248 9.1562 0.16463 26.8557 0.475025
249 9.4433 0.184049 27.666 0.527343
250 9.22975 0.169544 27.0439 0.490236
251 9.41462 0.166721 27.6248 0.480495
252 8.96786 0.167501 26.3098 0.483632
253 8.97329 0.161483 26.3262 0.46278
254 8.87097 0.157336 26.0339 0.453571
255 8.80689 0.158237 25.8371 0.456378
256 9.96054 0.14742 29.2251 0.443377
257 9.89181 0.161656 28.981 0.471648
258 9.03772 0.151446 26.4723 0.449467
259 10.0518 0.144135 29.5803 0.441528
260 9.94997 0.170457 29.0993 0.512854
261 9.74357 0.171531 28.3971 0.515909
262 9.89428 0.152731 28.977 0.466872
263 9.74916 0.165797 28.4446 0.497833
264 9.53518 0.17504 27.864 0.51225
265 9.51058 0.167399 27.8434 0.491818
266 9.38643 0.154356 27.556 0.448351
267 9.87482 0.172358 29.0088 0.507633
268 9.25009 0.171416 27.0122 0.497418
269 9.03885 0.166085 26.3041 0.484929
270 9.18731 0.177664 26.6856 0.511418
271 9.04578 0.17179 26.2311 0.497567
272 9.991 0.152111 29.2103 0.468603
273 9.97127 0.159776 29.1294 0.484411
274 10.0172 0.153387 29.2922 0.481317
275 9.98756 0.166189 29.0952 0.504265
276 10.1345 0.132446 29.7281 0.419969
277 10.1863 0.139724 29.9204 0.431939
278 10.0634 0.0936491 29.723 0.347798
279 10.175 0.0846721 30.0391 0.321947
280 9.78467 0.196818 28.5388 0.572759
281 9.7612 0.201884 28.4579 0.582305
282 9.33076 0.183186 27.1322 0.52329
283 9.47814 0.190829 27.5794 0.551998
284 9.87029 0.184234 28.8426 0.540248
285 9.78076 0.171702 28.637 0.505989
286 9.96715 0.142826 29.4178 0.446791
287 10 0.5 27.5 1.375
288 9.91424 0.160999 29.0697 0.475179
289 10.1273 0.120075 29.8408 0.402098
290 10.0661 0.136399 29.5736 0.424553
291 10.0906 0.151045 29.594 0.450362
292 9.66615 0.155011 28.326 0.450295
293 9.99716 0.107079 29.5355 0.363291
294 9.97328 0.150869 29.2925 0.458475
295 9.86211 0.144472 28.992 0.448333
296 9.40527 0.174404 27.6275 0.509932
297 9.44474 0.161023 27.697 0.466424
298 9.7327 0.169558 28.5991 0.501023
299 9.85124 0.170306 28.9555 0.501067
300 9.05068 0.15525 26.5279 0.452667
301 9.25059 0.170769 27.1269 0.49807
302 9.37453 0.178611 27.5095 0.525977
303 9.19289 0.160835 27.0195 0.471381
304 9.93548 0.14845 29.1798 0.434103
305 9.94792 0.146337 29.2401 0.436791
306 9.85247 0.152314 28.9206 0.449789
307 9.90306 0.148256 29.094 0.442813
308 9.99174 0.0971286 29.5061 0.336216
309 10.1465 0.131392 29.8864 0.410196
310 10.124 0.12785 29.7942 0.395049
311 10.0853 0.0520769 29.8865 0.256509
312 9.58261 0.180843 28.1797 0.518002
313 9.30785 0.171846 27.342 0.495958
314 9.47519 0.178931 27.836 0.514436
315 9.14642 0.172803 26.8452 0.497505
316 9.51983 0.163589 27.9879 0.470743
317 9.47341 0.164561 27.8697 0.474718
318 9.7873 0.160383 28.785 0.469269
319 9.90901 0.166995 29.1594 0.483776
320 10.1515 0.0126151 36.885 0.408176
321 10.0366 0.0131032 37.5955 0.384246
322 10.1317 0.0144922 38.4618 0.33613
323 10.2558 0.0167663 37.5685 0.38995
324 10.0653 0.0131609 35.643 0.399399
325 10.1669 0.0140751 35.5431 0.403696
326 10.141 0.0126589 37.0233 0.387848
327 10.0161 0.0149266 34.5521 0.393829
328 10.12 0.0131757 35.7491 0.380587
329 10.199 0.0126316 36.0094 0.390803
330 10.0319 0.0125478 38.1493 0.363824
331 10.0839 0.0198084 38.2095 0.328696
332 10.1954 0.0161634 35.1377 0.382921
333 10.2117 0.0134653 36.115 0.391969
334 9.9587 0.0135688 36.454 0.39584
335 10.2522 0.0184053 34.9753 0.386385
336 9.23311 0.157244 27.1239 0.461865
337 9.14983 0.156923 26.7594 0.449168
338 9.17319 0.15632 26.897 0.456515
339 9.13822 0.163435 26.8157 0.474503
340 9.21916 0.157588 27.1116 0.458728
341 9.18172 0.150611 26.9911 0.43543
342 9.26331 0.152384 27.2729 0.438898
343 9.65909 0.167029 28.4511 0.487262
344 8.47611 0.152015 24.8794 0.438326
345 8.85658 0.176831 25.9788 0.510066
346 8.55348 0.17339 25.0488 0.499215
347 8.62289 0.162788 25.2309 0.46698
348 8.42344 0.151354 24.7796 0.434343
349 8.88989 0.159641 26.1845 0.462117
350 9.05315 0.166868 26.7028 0.486837
351 9.0179 0.166315 26.6133 0.480451
352 9.01456 0.141897 26.2599 0.40851
353 9.88166 0.171004 28.9523 0.50212
354 9.7877 0.16351 28.6784 0.481006
355 9.67606 0.164188 28.3271 0.482644
356 8.98862 0.139613 26.2096 0.401857
357 9.74299 0.177834 28.4726 0.523131
358 9.50739 0.173569 27.8283 0.511509
359 9.65707 0.181525 28.2401 0.545452
360 9.14011 0.176191 26.8239 0.515375
361 9.08135 0.161999 26.6293 0.47207
362 9.32981 0.1755 27.3502 0.513496
363 9.44787 0.165299 27.7541 0.486322
